station,name,distance,address,category
1,Dupont Versailles,550,"386 rue Vaugirard, boulevard Victor",Bar
1,Annie et Gilles,804,7 boulevard Victor,Bakery
1,Le Vieil Alger,835,"29 bis, rue des Favorites",African Restaurant
2,Atelier des Lumières,325,38 rue Saint-Maur,Art Museum
2,The Hood,375,80 rue Jean Pierre Timbaud le Citizen Hotel,Bistro
2,Le Servan,407,32 rue Saint-Maur,French Restaurant
2,Pierre Sang in Oberkampf,437,55 rue Oberkampf,French Restaurant
2,Le Perchoir,289,"14 rue Crespin du Gast, 11e",Beer Bar
2,Bouche,450,85 rue Jean-Pierre Timbaud,French Restaurant
2,The Beans on Fire,297,7 rue du Général Blaise,Café
2,Melt Oberkampf,588,74 rue de la Folie Méricourt,BBQ Joint
2,Café Méricourt,395,22 rue de la Folie Méricourt,Buffet
2,Vantre,767,19 rue de la Fontaine au Roi,Restaurant
2,Les Enfants terribles,180,25 rue Lacharrière,Bar
2,Soya Végétarien Végétalien et Bio,738,20 rue de la Pierre Levée,Vegan and Vegetarian Restaurant
2,Fief,426,44 rue de la Folie-Méricourt,French Restaurant
2,Café Obrkof,632,41 boulevard Voltaire,Coffee Shop
2,Paperboy,859,"137 rue Amelot, 11e",Restaurant
2,L'Orillon Bar,692,35 rue de l'Orillon,Wine Bar
2,Le Saint Sebastien,606,42 rue Saint-Sébastien,French Restaurant
2,Restaurant Martin,918,24 boulevard du Temple,Wine Bar
2,Used Book Café,908,111 boulevard Beaumarchais Merci,Café
2,Ten Belles Bread,804,17-19 bis rue Bréguet,Bakery
2,Cô My Cantine,592,18 rue de Ménilmontant,Vietnamese Restaurant
2,VG Pâtisserie,850,123 boulevard Voltaire,Bakery
2,Land & Monkeys,920,86 boulevard Beaumarchais,Bakery
2,Café de la Poste,985,124 rue de Turenne,Bar
2,Wen Zhou,945,24 rue de Belleville,Chinese Restaurant
2,Tout Autour du Pain,983,134 rue de Turenne,Bakery
2,Bambino,694,25 rue Saint-Sébastien,Tapas Restaurant
2,La Cantine de Merci,908,111 boulevard Beaumarchais,Salad Restaurant
2,Blend Beaumarchais,897,1 boulevard des Filles du Calvaire,Burger Joint
2,La Fée Verte,828,"108 rue de la Roquette, 11e",Dive Bar
2,Les Petites Canailles,848,80 rue Amelot,Bistro
2,Cannibale Café,474,"93 rue jean pierre timbaud, Paris",Restaurant
2,Le Barricou,880,1 boulevard du Temple,Wine Bar
2,Les Cent Kilos,431,2 rue de la Folie de Mericourt,Bar
2,Restaurant le Tagine,748,13 rue de Crussol,Moroccan Restaurant
2,Scaria,247,88 avenue Parmentier,Buffet
2,Mon Coco,993,6 place de la République,French Restaurant
2,Panic Room,838,"101 rue Amelot, 11e",Cocktail Bar
2,Brasserie au Metro,702,19 rue de Malte,Dive Bar
2,Les Anemones,282,41 avenue de la République,Café
2,La Place Verte,203,105 rue Oberkampf,Bar
2,La Cantine Coréenne,176,58 avenue de la République,Korean Restaurant
2,Delhi Bazaar,226,71 Rue Servan,Fast Food Restaurant
2,Chanceux,236,57 rue Saint-Maur,Coffee Shop
2,Attitude Café,471,60 boulevard Voltaire,Bar
2,McDonald's,291,88 bis avenue Parmentier,Burger Joint
2,Julo,627,38 bis boulevard Voltaire,Bistro
2,Pho 168,850,168 boulevard de Belleville,Vietnamese Restaurant
2,BangBang Restaurant,725,9 rue du Liban,Asian Restaurant
2,Land&Monkeys,748,158 rue de la Roquette,Bakery
3,KFC,852,29 Bis boulevard Gabriel Péri,Fried Chicken Joint
3,La Criée,831,29 rue Jules Ferry,Fast Food Restaurant
3,Chidori Maji,948,78 avenue du Général de Gaulle,Pizzeria
3,Courtepaille,984,1 rue Jules Ferry,Fast Food Restaurant
