name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id
Santé - Arago,48.83507657562064,2.3415737262044938,12,25,37,86
Cours de l'Ile Seguin - Parc Billancourt,48.82714055843935,2.234234511852265,16,10,26,87
Crozatier - Faubourg Saint-Antoine,48.850440013405,2.378901366211,26,11,37,88
Hôtel de Ville de Sèvres,48.824363561289,2.2131047397852,19,9,28,89
Place Amédée Gordini - Lefebvre,48.83061737745,2.2920634208276,3,35,38,90
Gare de l'Est - Place du 11 Novembre 1918,48.876327,2.3585464,16,21,37,91
Square Victor Basch,48.914304862261,2.2289156913757,11,7,18,92
Place des Abbesses,48.884542726149725,2.3386867716908455,3,7,10,93
Redoute - Les Courtilles,48.929867194519,2.2836696356535,16,23,39,94
André Karman - République,48.91039875761846,2.3851355910301213,4,27,31,95
Place Lafayette,48.829654975522,2.2638675570488,52,8,60,96
Pyrénées - Emmery,48.872010281270974,2.392039597034455,3,37,40,97
Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,6,37,43,98
Croix Nivert - Square Saint-Lambert,48.843051521591,2.2952004522085,1,46,47,99
René Boulanger - Lancry,48.8685433,2.3600032,0,0,0,100
Billancourt - Général Leclerc ,48.8322649,2.2380413,5,17,22,101
Jourdan - Stade Charléty,48.819428333369,2.3433353751898,6,52,58,102
Place de la Porte de Passy,48.857341095470794,2.2644165538827115,7,28,35,103
Lourmel - Marie Skobtsov,48.844974,2.287283,20,2,22,104
Artois - Berri,48.87393521240818,2.3064258322119713,2,21,23,105
Place du Maréchal de Lattre de Tassigny,48.821707715257055,2.2853431485432423,18,9,27,106
M.- A. Lagroua Weill-Hallé -  F. Dolto,48.828595283857425,2.380220606266108,3,57,60,107
Gare - Aristide Briand,48.821410564722,2.2555950104387,25,3,28,108
Place Saint-Just,48.790379518724265,2.3895226791501045,17,2,19,109
Saint-Germain - Ciseaux,48.853305277595,2.3344654618827,2,16,18,110
Gare de Chaville Rive Gauche,48.805160304345,2.188277207315,1,17,18,111
