station,name,distance,address,rating
1,Au Petit Parisien,125.62090847398116,358 rue de Vaugirard,3.5
1,Shabestan - Mirabeau,1920.2496919875487,38 avenue de Versailles,4.1
1,Charlie Birdy,760.4268959393229,1 place Étienne Pernet,3.1
1,Thai at Home,807.483274785314,23 rue Mademoiselle,3.9
1,La Serenata,532.6450814846319,5 rue Desnouettes,4.6
1,Au Goût Dujour,1332.956071679898,12 Rue Beaugrenelle,4.7
1,Cafe Convention,256.57244878481777,200 rue de la Convention,2.7
2,Pierre Sang,440.50400172626803,55 rue Oberkampf,4.4
2,Ober Mamma,592.196672009589,107 boulevard Richard Lenoir,4.3
2,Le Temps des Cerises,1654.5889287757532,31 rue de la Cerisaie,4.4
2,Chez Janou,1165.2764232957904,2 rue Roger Verlomme,4.1
2,Chez Justine,170.21706149389743,96 rue Oberkampf,3.5
2,Clamato,1189.9411483650824,80 rue Charonne,4.4
2,Café Oberkampf,327.9260763857803,3 rue Neuve Popincourt,4.4
2,Balls,299.4175781824225,47 rue Saint-Maur,4.2
2,Le Colimaçon,1632.3885370235766,44 rue Vieille du Temple,4.4
2,Pierre Sang on Gambey,454.73058915219514,6 rue Gambey,4.7
2,Chez Mademoiselle,1743.7261856938164,16 rue Charlemagne,4.5
2,Le Perchoir,328.9850672684102,14 rue Crespin Dugast,3.6
2,Le Petit Marché,1182.5467766459901,9 rue Béarn,4.3
2,Les Pieds sous la Table,470.5318065084105,130 Rue St Maur,4.6
2,Robert et Louise,1493.3863139264809,64 rue Vieille du Temple,4.1
2,Les Niçois,233.83476422378115,7 rue Lacharrière,3.7
2,Candelaria,1053.458219653074,52 rue de Saintonge,3.8
2,Salento Marais,1454.9885187098125,6 rue de Jarente,4.5
2,Les Marcheurs de Planète,848.9647712737775,73 rue Roquette,4.5
2,Epicerie Breizh,1260.9408221695917,109 rue Vieille du Temple,4.1
2,Il Covo,168.16347876111578,104 rue Saint-Maur,4.9
2,Chez Margot,1687.947001202204,25 bis bd Henri IV,4.3
2,Maison,77.81326977278526,3 rue Saint-Hubert,5.0
2,Kyobashi,289.6347971600109,117 Rue St Maur,4.1
2,Holybelly 19,1557.476691579707,19 rue Lucien Sampaix,4.4
2,Aromes et Amores,403.68992325368566,13 rue Ternaux,4.4
2,Sherry Butt,1595.8578205346334,20 rue Beautreillis,4.4
2,Pramil,1466.9342538364574,9 rue Vertbois,4.3
2,Les Enfants Perdus,1646.2316067591241,9 rue des Recollets,4.1
2,Mokonuts,1510.1763940964688,5 rue Saint-Bernard,5.0
2,La Buvette,143.63322747721043,67 rue St Maur,4.4
2,Le Chateaubriand,769.8338051914585,129 avenue Parmentier,3.7
2,A Deux Pas,253.27557508419412,55 rue Saint-Maur,4.6
2,Clown Bar,812.0212705237917,114 rue Amelot,3.8
2,Chez Troquette,719.6651874734583,1 rue Saint-Maur,4.9
2,Chameleon,1577.6958643214075,70 Rue René Boulanger,4.5
2,Blue Valentine,692.4940714502969,13 rue de la Pierre Levée,4.6
2,Korus,926.4054153990529,73 rue Amelot,4.9
2,L'Estaminet,228.4765042035937,116 rue Oberkampf,3.7
2,Tamarind,1760.9253187860093,33 rue François Miron,4.5
2,Bistrot de l'Oulette,1254.150584023425,38 rue Tournelles,4.2
2,Nakagawa,77.67104244344644,3 rue Saint Hubert,4.3
2,Le Villaret,397.1203180254632,13 rue Ternaux,4.1
2,Le Bichat,908.0766860221793,11 rue Bichat,4.4
2,La Marine,1187.9492323735524,55bis quai de Valmy,3.6
2,Restaurant Astier,514.7418286336616,44 rue Jean Pierre Timbaud,3.7
