station_name,latitude,longitude,free_bikes,empty_slots,total_number_bikes,station_id,poi_name,distance,address,rating
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Restaurant Il Pomodoro,82.89042056996718,354 rue Vaugirard,3.8
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Le Beurre Noisette,597.5734072710081,68 Rue Vasco De Gama,3.6
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Au Petit Parisien,125.62090847398116,358 rue de Vaugirard,3.5
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Charlie Birdy,760.4268959393229,1 place Étienne Pernet,3.1
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Thai at Home,807.483274785314,23 rue Mademoiselle,3.9
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,La Serenata,532.6450814846319,5 rue Desnouettes,4.6
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,22,3,25,1,Cafe Convention,256.57244878481777,200 rue de la Convention,2.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Pierre Sang,440.504001726268,55 rue Oberkampf,4.4
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Ober Mamma,592.196672009589,107 boulevard Richard Lenoir,4.3
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Chez Justine,170.21706149389743,96 rue Oberkampf,3.5
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Café Oberkampf,327.9260763857803,3 rue Neuve Popincourt,4.4
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Balls,299.4175781824225,47 rue Saint-Maur,4.2
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Pierre Sang on Gambey,454.73058915219514,6 rue Gambey,4.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Le Perchoir,328.9850672684102,14 rue Crespin Dugast,3.6
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Les Pieds sous la Table,470.5318065084105,130 Rue St Maur,4.6
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Les Niçois,233.83476422378115,7 rue Lacharrière,3.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Les Marcheurs de Planète,848.9647712737775,73 rue Roquette,4.5
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Il Covo,168.16347876111578,104 rue Saint-Maur,4.9
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Maison,77.81326977278526,3 rue Saint-Hubert,5.0
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Kyobashi,289.6347971600109,117 Rue St Maur,4.1
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Aromes et Amores,403.68992325368566,13 rue Ternaux,4.4
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,La Buvette,143.63322747721045,67 rue St Maur,4.4
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Le Chateaubriand,769.8338051914585,129 avenue Parmentier,3.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,A Deux Pas,253.27557508419412,55 rue Saint-Maur,4.6
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Clown Bar,812.0212705237917,114 rue Amelot,3.8
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Chez Troquette,719.6651874734583,1 rue Saint-Maur,4.9
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Blue Valentine,692.4940714502969,13 rue de la Pierre Levée,4.6
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Korus,926.4054153990528,73 rue Amelot,4.9
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,L'Estaminet,228.4765042035937,116 rue Oberkampf,3.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Nakagawa,77.67104244344644,3 rue Saint Hubert,4.3
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Le Villaret,397.1203180254632,13 rue Ternaux,4.1
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Le Bichat,908.0766860221792,11 rue Bichat,4.4
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Restaurant Astier,514.7418286336616,44 rue Jean Pierre Timbaud,3.7
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Bocamexa,234.70246496763545,95 rue Oberkampf,3.9
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Le Plein Soleil,385.7449654362273,90 avenue Parmentier,3.3
Saint-Maur - République,48.864185861455,2.3783174157143,19,19,38,2,Atelier des Lumières,332.8350562419839,38 rue Saint-Maur,4.5
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,17,8,25,3,Courtepaille,541.9011117634493,1 Rue Jules Ferry,4.3
